quadrosTotal,quadrosCalls,calls,quadrosSelfTime,selfTime,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,1,,0.00,,1.14,,0
,,1,,0.00,,3.60,,0
,,1,,0.00,,1.20,,0
,,2,,0.00,,1.12,,0
,,1,,0.00,,1.21,,0
,,1,,0.00,,1.21,,0
,,1,,0.00,,1.21,,0
,,1,,0.00,,1.21,,0
,,1,,0.00,,1.72,,0
10,10,1,10,0.00,10,1.29,10,0
,,1,,0.00,,1.08,,0
,,1,,0.00,,1.59,,0
,,1,,0.00,,4.13,,0
,,3,,0.00,,1.34,,0
,,1,,0.00,,1.99,,0
,,1,,0.00,,1.99,,40
,,1,,0.00,,1.99,,0
,,1,,0.00,,1.99,,0
,,1,,0.00,,1.14,,0
20,20,1,20,0.00,20,1.34,20,0
,,2,,0.00,,1.74,,0
,,1,,0.00,,1.45,,0
,,1,,0.00,,1.60,,0
,,1,,0.00,,3.56,,0
,,1,,0.00,,2.06,,0
,,1,,0.00,,1.14,,0
,,1,,0.00,,1.33,,0
,,1,,0.00,,2.03,,0
,,1,,0.00,,1.10,,3600
30,30,1,30,0.00,30,1.38,30,3600
,,1,,0.00,,2.08,,21300
,,1,,0.00,,1.99,,17800
,,2,,0.00,,3.49,,32000
,,1,,0.00,,2.69,,32000
,,1,,0.00,,2.05,,32000
,,1,,0.00,,1.99,,32000
,,1,,0.00,,1.99,,32000
,,1,,0.00,,3.64,,32000
,,1,,0.01,,2.07,,192000
40,40,1,40,0.00,40,1.53,40,99500
,,1,,0.00,,1.77,,113800
,,1,,0.00,,3.07,,128000
,,2,,0.00,,11.57,,298600
,,1,,0.00,,4.22,,149300
,,1,,0.00,,1.77,,376800
,,1,,0.00,,1.77,,199100
,,1,,0.00,,2.61,,419500
,,1,,0.00,,1.63,,234600
,,1,,0.00,,2.00,,277300
50,50,2,50,0.00,50,4.61,50,298600
,,1,,0.00,,10.23,,327000
,,2,,0.00,,3.51,,334100
,,1,,0.00,,1.40,,700000
,,1,,0.00,,1.83,,440800
,,1,,0.00,,2.12,,462100
,,1,,0.00,,2.00,,447900
,,1,,0.00,,1.59,,451400
,,2,,0.00,,4.06,,600000
,,1,,0.00,,1.92,,487000
60,60,1,60,0.00,60,2.40,60,501200
,,1,,0.00,,1.67,,500000
,,1,,0.00,,1.68,,500000
,,1,,0.00,,2.38,,1200000
,,1,,0.00,,1.90,,1200000
,,1,,0.01,,1.88,,600000
,,1,,0.00,,1.80,,600000
,,1,,0.00,,13.47,,600000
,,2,,0.00,,5.33,,600000
,,2,,0.00,,7.84,,600000
70,70,1,70,0.00,70,2.08,70,1300000
,,1,,0.00,,2.49,,1500000
,,1,,0.00,,1.90,,700000
,,1,,0.00,,1.95,,800000
,,1,,0.00,,2.36,,700000
,,2,,0.00,,13.90,,700000
,,2,,0.00,,4.54,,800000
,,1,,0.00,,2.28,,800000
,,1,,0.00,,2.51,,800000
,,1,,0.00,,2.38,,1700000
80,80,1,80,0.00,80,2.11,80,800000
,,1,,0.00,,2.32,,800000
,,1,,0.00,,2.58,,800000
,,1,,0.01,,9.74,,800000
,,2,,0.00,,5.02,,800000
,,1,,0.00,,2.17,,800000
,,1,,0.00,,2.33,,900000
,,1,,0.00,,2.64,,2700000
,,1,,0.00,,2.38,,1100000
,,1,,0.00,,9.48,,900000
90,90,1,90,0.00,90,2.77,90,900000
,,1,,0.00,,2.29,,1800000
,,1,,0.00,,8.42,,1000000
,,3,,0.00,,2.45,,1000000
,,1,,0.00,,10.83,,1000000
,,1,,0.00,,10.83,,2100000
,,2,,0.00,,9.23,,2100000
,,1,,0.00,,4.02,,1100000
,,1,,0.00,,2.53,,1100000
,,1,,0.00,,2.65,,1200000
100,100,2,100,0.00,100,18.34,100,1200000
,,2,,0.00,,5.45,,1200000
,,1,,0.00,,2.83,,1300000
,,1,,0.00,,2.56,,1600000
,,1,,0.00,,10.83,,2700000
,,1,,0.00,,2.69,,1400000
,,1,,0.00,,2.61,,1400000
,,1,,0.00,,3.62,,1400000
,,1,,0.00,,6.84,,1400000
,,2,,0.00,,3.41,,1400000
110,110,1,110,0.00,110,11.11,110,1500000
,,1,,0.00,,2.73,,1600000
,,1,,0.00,,2.97,,3200000
,,1,,0.00,,3.26,,1700000
,,1,,0.00,,11.53,,1600000
,,1,,0.00,,3.59,,1600000
,,1,,0.00,,3.94,,1700000
,,2,,0.00,,8.51,,3300000
,,1,,0.00,,14.25,,1800000
,,1,,0.01,,3.26,,3400000
120,120,1,120,0.01,120,3.41,120,5300000
,,1,,0.00,,3.86,,1700000
,,2,,0.00,,19.17,,1700000
,,2,,0.00,,9.66,,1600000
,,2,,0.00,,3.86,,1600000
,,3,,0.00,,18.50,,1700000
,,1,,0.00,,3.69,,1800000
,,1,,0.00,,11.55,,1700000
,,1,,0.00,,3.39,,5300000
,,1,,0.00,,3.39,,3600000
130,130,1,130,0.00,130,3.53,130,1800000
,,1,,0.00,,10.49,,1900000
,,1,,0.00,,4.89,,1900000
,,3,,0.00,,20.65,,2100000
,,2,,0.00,,7.31,,1900000
,,1,,0.00,,11.62,,1900000
,,1,,0.00,,3.86,,2000000
,,1,,0.00,,3.62,,4000000
,,1,,0.00,,3.57,,2100000
,,1,,0.00,,11.80,,2100000
140,140,1,140,0.00,140,11.84,140,2100000
,,1,,0.00,,3.67,,4400000
,,2,,0.01,,18.55,,4300000
,,1,,0.00,,3.64,,8700000
,,1,,0.01,,3.65,,4200000
,,1,,0.00,,13.79,,2100000
,,2,,0.00,,13.34,,2100000
,,2,,0.00,,16.84,,2100000
,,4,,0.00,,25.31,,2000000
,,2,,0.00,,17.28,,2100000
150,150,1,150,0.00,150,5.97,150,4099999.9999999995
,,1,,0.00,,4.55,,3800000
,,1,,0.00,,11.80,,1900000
,,1,,0.00,,5.53,,1800000
,,1,,0.00,,7.36,,1800000
,,2,,0.00,,22.82,,1800000
,,2,,0.00,,7.54,,1900000
,,1,,0.00,,3.54,,1800000
,,1,,0.00,,10.47,,3700000
,,1,,0.00,,4.14,,1900000
160,160,1,160,0.00,160,3.64,160,2000000
,,1,,0.00,,11.13,,2000000
,,1,,0.00,,4.13,,2000000
,,2,,0.00,,8.55,,4800000
,,1,,0.00,,11.45,,3900000
,,1,,0.00,,3.66,,2000000
,,1,,0.00,,3.80,,8300000.000000001
,,1,,0.01,,10.95,,4200000
,,1,,0.00,,7.36,,2100000
,,2,,0.00,,19.53,,2100000
170,170,1,170,0.00,170,18.45,170,2300000
,,4,,0.00,,25.74,,2300000
,,2,,0.00,,8.92,,4700000
,,1,,0.00,,12.93,,4800000
,,1,,0.00,,4.63,,2500000
,,1,,0.00,,4.76,,2500000
,,1,,0.00,,12.41,,2500000
,,2,,0.00,,12.13,,2400000
,,2,,0.00,,16.15,,11200000
,,1,,0.00,,13.86,,4800000
180,180,1,180,0.00,180,4.30,180,5000000
,,1,,0.00,,4.71,,4900000
,,4,,0.00,,14.17,,2500000
,,1,,0.00,,10.32,,2600000
,,2,,0.00,,25.39,,2700000
,,2,,0.00,,19.53,,2700000
,,2,,0.00,,17.49,,2700000
,,1,,0.00,,4.68,,11600000
,,1,,0.01,,4.44,,12200000
,,1,,0.01,,11.38,,9600000
190,190,1,190,0.01,190,4.95,190,13500000
,,1,,0.01,,13.43,,10300000
,,4,,0.01,,41.40,,7000000
,,4,,0.00,,40.62,,5400000
,,3,,0.01,,27.25,,14400000
,,4,,0.01,,39.76,,11200000
,,3,,0.00,,39.12,,7600000
,,3,,0.00,,21.68,,7600000
,,2,,0.00,,44.73,,19700000
,,4,,0.01,,26.35,,18900000
200,200,3,200,0.01,200,28.99,200,13900000
,,2,,0.01,,25.39,,13100000
,,2,,0.01,,25.88,,9500000
,,5,,0.01,,64.13,,9100000
,,5,,0.01,,50.91,,5800000
,,4,,0.00,,42.41,,5800000
,,4,,0.00,,40.50,,5800000
,,3,,0.00,,33.91,,5900000
,,3,,0.00,,27.09,,6600000
,,2,,0.01,,18.38,,8300000.000000001
210,210,2,210,0.00,210,20.58,210,8300000.000000001
,,2,,0.01,,10.86,,5400000
,,1,,0.00,,24.18,,7700000
,,2,,0.01,,26.80,,4900000
,,3,,0.00,,22.51,,2500000
,,3,,0.00,,34.31,,4800000
,,2,,0.00,,9.56,,2300000
,,3,,0.00,,26.35,,2400000
,,2,,0.00,,17.52,,4700000
,,1,,0.00,,15.23,,4600000
220,220,2,220,0.00,220,9.18,220,2200000
,,1,,0.00,,13.81,,2200000
,,1,,0.00,,6.16,,2200000
,,2,,0.00,,20.32,,1900000
,,2,,0.00,,9.10,,2200000
,,1,,0.00,,14.91,,2200000
,,1,,0.00,,4.61,,2200000
,,1,,0.00,,4.18,,6600000
,,1,,0.01,,4.46,,4400000
,,1,,0.01,,3.92,,6600000
230,230,1,230,0.01,230,12.11,230,4300000
,,1,,0.01,,4.56,,4099999.9999999995
,,3,,0.00,,21.13,,2000000
,,2,,0.00,,22.51,,4099999.9999999995
,,3,,0.00,,23.00,,2000000
,,2,,0.00,,9.39,,2000000
,,2,,0.00,,18.06,,2000000
,,1,,0.00,,4.54,,1900000
,,2,,0.00,,17.23,,1700000
,,1,,0.00,,4.42,,3800000
240,240,1,240,0.00,240,4.46,240,2000000
,,1,,0.00,,13.07,,4000000
,,1,,0.00,,4.37,,2000000
,,1,,0.00,,9.28,,1900000
,,2,,0.00,,3.60,,2000000
,,1,,0.00,,14.05,,2000000
,,2,,0.00,,9.02,,1900000
,,1,,0.00,,13.37,,3800000
,,1,,0.00,,3.79,,1900000
,,1,,0.00,,3.92,,3600000
250,250,1,250,0.00,250,4.19,250,3600000
,,1,,0.00,,12.84,,3700000
,,2,,0.00,,9.24,,3700000
,,1,,0.00,,16.02,,2900000
,,2,,0.00,,9.99,,3700000
,,2,,0.00,,22.72,,1800000
,,2,,0.01,,7.94,,1800000
,,1,,0.00,,19.30,,1700000
,,2,,0.00,,10.19,,1700000
,,2,,0.00,,6.87,,1700000
260,260,1,260,0.00,260,3.93,260,1700000
,,1,,0.00,,3.62,,5000000
,,1,,0.00,,11.80,,1700000
,,1,,0.00,,3.80,,1700000
,,1,,0.00,,3.69,,1700000
,,1,,0.00,,3.60,,1700000
,,3,,0.00,,12.32,,1700000
,,1,,0.00,,4.35,,1600000
,,1,,0.00,,12.62,,1300000
,,1,,0.00,,3.89,,1600000
270,270,1,270,0.00,270,3.58,270,3000000
,,1,,0.00,,3.66,,1500000
,,1,,0.00,,12.16,,1500000
,,1,,0.00,,3.70,,1500000
,,1,,0.00,,3.23,,1400000
,,2,,0.00,,7.03,,2900000
,,1,,0.01,,3.69,,2800000
,,1,,0.00,,11.52,,4300000
,,1,,0.01,,3.44,,1400000
,,1,,0.00,,3.37,,1400000
280,280,2,280,0.00,280,21.38,280,1400000
,,2,,0.00,,6.87,,1400000
,,3,,0.00,,21.66,,1400000
,,1,,0.00,,3.19,,1300000
,,1,,0.00,,3.32,,1400000
,,1,,0.00,,3.45,,1400000
,,1,,0.00,,3.58,,2700000
,,2,,0.00,,3.36,,1300000
,,1,,0.00,,11.13,,1300000
,,1,,0.00,,3.33,,1300000
290,290,1,290,0.00,290,3.30,290,1300000
,,2,,0.00,,10.33,,1300000
,,1,,0.00,,3.70,,1300000
,,1,,0.00,,11.31,,1400000
,,1,,0.00,,3.65,,1400000
,,1,,0.00,,3.27,,2600000
,,1,,0.01,,3.32,,1300000
,,1,,0.00,,3.23,,1300000
,,1,,0.00,,11.30,,1300000
,,1,,0.00,,3.57,,1300000
300,300,2,300,0.00,300,9.18,300,1300000
END,END,1,END,0.00,END,3.75,END,2600000
,,1,,0.00,,12.14,,2600000
,,1,,0.00,,3.22,,2600000
,,1,,0.00,,3.18,,1300000
,,1,,0.00,,3.18,,2500000
,,2,,0.00,,22.87,,1300000
,,2,,0.00,,8.31,,1300000
,,2,,0.00,,7.60,,1300000
,,1,,0.00,,3.56,,1300000
,,2,,0.00,,6.56,,1300000
,,1,,0.00,,3.19,,3800000
,,1,,0.01,,3.33,,1300000
,,1,,0.00,,3.38,,1300000
,,1,,0.00,,11.94,,1300000
,,1,,0.00,,3.93,,1200000
,,3,,0.00,,9.55,,1200000
,,1,,0.00,,13.76,,1200000
,,1,,0.00,,4.05,,1200000
,,1,,0.01,,3.88,,END
,,1,,END,,3.36,,
,,1,,,,3.66,,
,,1,,,,4.38,,
,,1,,,,10.99,,
,,END,,,,END,,
