totalPercent,calls,totalTime,gcMemory
,,,
3.50%,6,1.8,700000
8.40%,3,1.42,900000
18.30%,1,1.64,476300
6.70%,1,0.91,600000
6.00%,1,1.02,700000
6.80%,1,1.18,800000
8.60%,1,1.39,1000000
8.50%,1,1.52,1100000
5.30%,1,1.63,1200000
60.20%,1,11.5,1200000
25.70%,1,1.99,1300000
12.50%,1,2.1,1400000
12.20%,1,2.14,1600000
14.20%,1,2.21,1700000
14.00%,1,2.48,1700000
15.40%,1,2.46,1900000
14.40%,1,2.57,1900000
7.70%,1,2.74,2000000
69.60%,2,18.69,4200000
41.10%,1,3.51,2000000
20.90%,1,3.71,2200000
23.00%,1,3.6,2400000
22.00%,1,3.79,2400000
50.20%,1,13.29,2400000
29.50%,2,6.29,4900000
17.50%,1,4.93,2500000
47.60%,2,7.33,5400000
70.90%,1,19.47,2800000
35.40%,1,3.56,3000000
23.80%,1,3.99,3000000
25.40%,1,4.21,3100000
24.10%,1,4.27,3100000
56.40%,1,14.44,3300000
26.00%,1,6.13,3500000
52.90%,2,9.09,7000000
48.60%,1,5.38,3600000
55.30%,1,14.22,3700000
45.10%,1,5.35,3700000
34.20%,1,5.75,3800000
34.30%,1,5.42,4000000
55.30%,1,14.13,4100000
54.40%,1,6.67,4200000
22.30%,1,6.26,4300000
72.10%,2,21.83,8500000
53.70%,1,6.6,4200000
41.00%,1,6.84,4400000
62.70%,1,18.07,4600000
69.30%,2,12.69,9200000
76.80%,1,22.58,4500000
25.70%,2,11.49,9200000
75.40%,2,26.72,9200000
66.50%,2,13.12,9300000
79.30%,2,24.85,9400000
65.10%,2,13.88,9300000
43.70%,1,17.54,4700000
63.10%,2,15.41,9900000
79.80%,2,23.5,10000000
55.80%,1,7.38,5000000
66.00%,1,18.13,5200000
69.60%,2,14.91,10600000
48.50%,1,18.18,5300000
65.90%,2,15.9,10800000
80.40%,2,27.84,10600000
80.90%,2,25.27,10700000
69.90%,2,15.86,11100000
48.30%,1,18.42,5500000
67.90%,2,17.8,11500000
57.30%,2,26.57,11400000
81.30%,3,32.94,16800000
60.70%,2,27.37,11300000
76.00%,3,35.24,16900000
83.30%,3,32.73,16700000
77.90%,2,25.8,11400000
48.00%,2,17.47,11600000
73.90%,2,25.13,11500000
81.50%,2,27.96,11600000
82.40%,2,31.36,11700000
81.60%,3,33.42,17500000
54.90%,2,28.69,12000000
68.70%,3,37.59,18100000
84.40%,3,40.33,18100000
65.20%,3,36.88,18100000
83.50%,4,46.69,24200000
83.80%,3,36.3,18100000
70.10%,3,44.87,18500000
81.80%,3,46.87,18600000
87.50%,4,50.21,24800000
72.40%,3,47.9,18700000
71.80%,4,46.62,25000000
88.70%,4,61.72,24900000
71.20%,4,45.82,24900000
83.00%,4,58.34,25000000
86.10%,4,47.05,25100000
72.90%,4,58.33,25400000
86.00%,4,63.53,26000000
80.00%,5,79.06,33600000
79.60%,6,81.94,40300000
80.40%,6,94.07,39900000
81.40%,6,89.03,40200000
81.00%,6,94.38,40800000
71.90%,6,78.99,40500000
81.20%,6,99.99,41300000
79.90%,6,84.18,41900000
81.20%,6,96.43,42800000
81.60%,6,95.94,43100000
69.70%,6,83.86,43500000
81.00%,6,99.98,42600000
81.90%,6,98.12,43100000
79.60%,6,92.08,43900000
74.10%,6,106.98,45000000
82.40%,6,105.88,45600000
83.70%,6,113.34,46400000
82.30%,6,97.83,47800000
76.00%,6,110.1,48400000
81.60%,6,113.12,48300000
82.70%,6,109.72,48500000
83.20%,6,107.7,48700000
73.50%,6,107.44,49700000
80.40%,5,108.86,42500000
83.20%,6,120.24,51900000
83.50%,6,119.31,52600000
75.90%,6,125.53,53300000
83.40%,6,124.2,54100000
83.60%,6,119.71,54500000
82.10%,6,115.21,54700000
79.20%,6,142.76,55800000
85.10%,6,123.85,56300000
84.00%,6,127.69,57000000
85.20%,6,134.56,58400000
79.40%,6,134.6,58900000
86.40%,6,150.98,59400000
85.80%,6,140.95,59700000
79.90%,6,147.57,60100000
85.00%,6,126.09,60400000
84.60%,6,145.42,62100000
78.80%,6,144.19,63000000
86.20%,6,153.6,63800000
87.10%,6,159.18,64500000
81.00%,6,159.05,65500000
82.70%,6,154.4,66000000
84.70%,6,148.44,66100000
80.80%,6,151.5,66600000
85.30%,6,158.57,67400000
86.90%,6,163.36,68000000
80.40%,6,159.51,68500000
87.50%,6,165.7,68500000
86.10%,6,161.13,69200000
80.50%,6,153.78,70400000
86.90%,6,170.15,70800000
87.90%,6,165.13,71400000
81.60%,6,174.31,73100000
87.90%,6,182.46,73100000
85.20%,6,174.61,74000000
82.80%,6,183.38,75000000
88.00%,6,174.35,75900000
88.40%,6,178.69,77300000
83.90%,6,192.55,77400000
88.40%,6,188.66,77400000
89.10%,6,186.21,77700000
84.00%,6,219.56,77800000
89.20%,6,203.17,77600000
86.60%,6,190.67,78700000
81.00%,6,176.53,79900000
88.90%,6,196.41,81800000
86.80%,6,194.98,82200000
80.30%,6,181.18,83400000
88.10%,6,205.36,83600000
86.30%,6,231.83,85000000
87.10%,6,204.46,85800000
88.70%,6,216.24,87000000
84.50%,6,211.59,87900000
88.50%,6,210.54,88400000
88.00%,6,202.97,88800000
84.40%,6,226.09,89300000
90.60%,6,229.58,89500000
85.20%,6,215.1,89100000
90.40%,6,232.06,90000000
88.40%,6,195.1,91000000
83.80%,6,212.84,92500000
89.70%,6,232.56,93400000
84.40%,6,211.63,94300000
88.60%,6,212.16,94500000
90.00%,6,217.5,94300000
86.20%,6,245.59,95200000
87.60%,6,225.88,95500000
83.70%,6,239.89,96300000
89.40%,6,218.69,97800000
89.70%,6,217.27,98100000
84.70%,6,231.91,99600000
90.50%,6,229.32,99600000
84.60%,6,233.4,100400000
88.90%,6,234.39,101100000
86.40%,6,238.52,101700000
89.30%,6,239.79,102500000
86.00%,6,244.33,104000000
87.60%,6,244.68,105000000
86.70%,6,256.83,106000000
90.10%,6,238.62,107400000
87.00%,6,273.2,109300000
90.50%,6,271.01,110300000
86.40%,6,276.9,110700000
89.40%,5,221.04,92900000
88.40%,6,280.01,112800000
90.30%,6,262.8,113800000
88.30%,6,300.74,114900000
90.60%,6,284.97,115500000
87.50%,6,290.64,115400000
90.40%,6,283.09,115400000
88.60%,6,298.64,117100000
90.40%,6,300.56,117900000
88.50%,6,292.55,118300000
91.80%,6,288.52,118200000
88.10%,6,299.51,118800000
91.70%,6,323.89,118400000
88.30%,6,310.15,119900000
91.00%,6,325.06,122200000
88.50%,6,314.81,123200000
93.00%,6,322.9,122900000
87.10%,6,302.37,124200000
92.00%,6,332.45,124400000
86.90%,6,290.78,125800000
92.00%,6,362.94,126700000
88.70%,6,333.24,128100000
90.30%,6,316.96,129400000
88.70%,6,327.23,129800000
92.80%,6,343.44,130300000
88.10%,6,320.95,131500000
92.40%,6,325.49,131100000
88.30%,6,353.27,132700000
91.10%,6,365.99,133800000
90.80%,6,371.75,133400000
92.30%,6,396.57,134200000
90.40%,6,349.99,134500000
92.20%,6,347.56,136100000
88.80%,6,310.41,137000000
92.80%,6,362.68,137900000
90.00%,6,339.81,137700000
92.10%,6,338.71,137500000
86.70%,6,386.3,138600000
54.30%,6,404.25,139200000
END,END,END,END
